skill,web_order,doc_order,Star,Years,caption,Sub Skills/Keywords,Max11,Max7
C++,4,1,8,10,"STL, ATL, MFC, also: FCL, C++/CLI, etc.","ATL, MFC, STL, C++/CLI","""'0,7,8,8,9,9,9,9,9,10,10,10,10,0,0,0,0,9,0,0,0,0,0,11,11,11,11""","""1,3,4,4,5,5,5,5,5,6,6,6,6,0,0,0,0,5,1,1,1,1,1,7,7,7,7"""
DotNet,5,2,7,8,"Web and desktop using C#, VB.Net,  C++/CLI","C#, ASP.Net, VB.Net, C++/CLI.","""'0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,9,9,9,9,9,9,0,0,0""","""'0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,5,5,0,5,5,5,5,5,5,1,1,1"""
Python,6,3,5,2,"DotNet Interop, multiprocessing, Robot Testing, etc.",PEP-008 compliant. Robot,"""null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,9,9,9""",""",,,,,,,,,,,,,,,,,,,,,,,3,5,5,5"""
Java,7,4,5,3,"Android, JNI, Web-Applets, Tomcat","Android, JNI, Web-Applets, Tomcat (spanning 20 years)","""'0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0""","""'0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,1,3,3,3,0,1,1,1"""
Fortran,8,5,3,1,Financial software maintenance,Bloomberg Terminal,"""null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,7,7""",""",,,,,,,,,,,,,,,,,,,,,,,,3,3,3"""
PHP,9,6,3,1,"Website maintenance, basic sites","RFCs, FTP, SSL/TLS, SSH.","""null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0""",""",,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"""
Databases,10,7,7,15,"Design, DDL, data access, SQL, etc.","SQL, Sql Server, T-SQL, Oracle, PL-SQL, MySql, SqlLite, Paradox, etc.","""9,0,9,9,11,9,0,0,0,0,0,0,0,9,9,11,9,0,9,9,9,9,9,0,9,9,9""","""5,1,5,5,7,5,2,2,2,2,2,2,2,5,5,7,5,0,5,5,5,5,5,0,5,5,5"""
IPTV,11,8,5,5,"VHO Integration, set-top-box, over-the-top, etc.","Mediaroom, VHO, set-top-box, H.264, QuickPlay, over-the-top","""null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,9,9,9,9,9,0,0,0,0""",""",,,,,,,,,,,,,,,,,,5,5,5,5,5,,,,"""
TCP/IP,12,9,5,5,"SSH, SSL/TLS; WS_FTP - fastest FTP client at the time","RFCs, FTP, SSL/TLS, SSH","""'0,0,0,0,0,0,7,0,0,9,9,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0,0""","""'0,0,0,0,1,1,3,1,1,5,5,7,7,1,1,1,1,2,2,2,2,2,2,4,0,0,0"""
Windows,1,10,8,26,"Since Windows 3.0, Internals, GDI, COM, etc.","Internals, SDK, GUI, GDI, COM, I18N, shell integration, etc.","""8,9,9,9,9,9,9,10,10,11,11,11,11,9,9,9,9,10,9,9,11,11,11,9,0,0,0""","""4,5,5,5,5,5,5,6,6,7,7,7,7,5,5,5,5,6,5,5,7,7,7,5,2,2,2"""
Web,2,11,7,10,"ASP.Net, HTML, JavaScript, CSS, JSP etc.","ASP.Net, HTML, CSS, XML, XSLT, JavaScript, Java, AJAX, etc.","""'0,0,0,0,0,0,0,10,10,0,0,0,0,10,8,8,8,10,9,9,9,9,9,0,0,0,0""","""'0,0,0,0,1,1,1,6,6,1,1,1,1,6,4,4,4,6,5,5,5,5,5,1,2,2,2"""
Unix,3,12,6,5,"AIX, Solaris, Linux; ksh, also: bash","AIX, Solaris, Linux, ksh, bash, etc.","""'0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,9,9,9""","""1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,3,3,3,1,5,5,5"""
