Start,End,StartPrec,EndPrec,Tenure,Name,Label,Position,URL,Address,Phone,Transitions,Organization,Languages,Platforms,Source Control,Applications,Methodologies
"2013-06-17","2016-06-01","D","M","","Bloomberg","Bloomberg","Senior Software Engineer","http://bloomberg.com","731 Lexington Ave, New York, NY 10022","+1-212-318-2000","","BVAL Team, Data License Department, Enterprise Solutions.","C++, Python, SQL, Fortran, JavaScript, ksh, bash, Excel, Hypersheet, XML. ","AIX, Solaris, Linux, Atlassian Jira, Atlassian Confluence, Bloomberg proprietary","git, RCS, Bloomberg proprietary, Phabricator ","Microsoft Office (Word, Excel, Visio), Exceed On Demand, Bloomberg Terminal.","Agile/SCRUM, Waterfall."
"2012-04-09","2013-05-31","D","D","","GTRI","Georgia Tech Research Institute (GTRI)","Contract Programmer","http://gtri.gatech.edu","400 10th St NW, Atlanta, GA 30318","+1-404-894-7325","","Electronic Systems Laboratory (ELSYS), http://www.gtri.gatech.edu/elsys","C++, C++/CLI (Managed C++), Python, C#, C","MFC, Arduino","MKS Integrity (now PTC Integrity)","",""
"2009-05-11","2012-03-28","D","D","","Alcatel-Lucent","Alcatel-Lucent","Software Architect/Solution Line Manager","http://alcatel-lucent.com","800 North Pointe Pkwy, Alpharetta, GA 30005","+1-770-750-2339","Alcatel-Lucent merged with Nokia in Jan 2016.","Multimedia Integration Division, IPTV Application Architecture","C#, Mediaroom Markup Language (MRML), SQL, Java, others.","ASP.Net, Presentation Framework (PF), Android, SQL Server","Subversion (SVN)","",""
"2007-01-15","2008-12-31","D","D","","AT&T","AT&T","Contract Programmer","http://att.com"," 725 W Peachtree St NW, Atlanta, GA  30308"," +1-800-331-0500","","AT&T Labs, Video and Converged Services, Exploratory Application Development","C#, Mediaroom Markup Language (MRML), JavaScript, SQL, C++","ASP.Net, Oracle, DirectShow","Subversion (SVN)","",""
"2006-01-01","2006-03-01","M","M","remote/part-time","Agile","Agile Technologies LLC","Contract Programmer","http://www.agiletech.com","400 Perimeter Center Terrace Ste 145, Atlanta, GA 30346","+1-678-579-9068","","","C++, JavaScript, HTML","Windows 98, Visual Studio 6, IE6","Subversion","",""
"2005-01-03","2006-08-17","D","D","","NextGen","NextGen Healthcare Information Systems","Consultant","http://nextgen.com","3340 Peachtree Road NE, Suite 2700, Atlanta, GA 30326","+1-404-467-1500","","NextGen Consulting Services","C#, VB.Net, SQL, XML, HL7, Microsoft VBA, Excel, Access, others.","SQL Server, MSMQ, Microsoft Office, Crystal Reports, Infragistics","Visual Source Safe","",""
"2003-09-01","2004-11-30","M","M","","taxslayer.com","taxslayer.com (as Rhodes Financial Services)","Senior Developer","http://taxslayer.com","3003 TaxSlayer Drive, Evans, GA 30809","+1-706-868-2333","","Online Filing Website","VB.Net, SQL, C#, XML","ASP.Net, SQL Server, MSMQ, Microsoft Exchange","Perforce","",""
"1999-03-01","2003-09-01","M","M","","Ipswitch","Ipswitch","Principal Software Developer","http://ipswitch.com","83 Hartwell Ave, Lexington, MA 02421 (US HQ)","+1-781-676-5700","","WS_FTP Development Team, Augusta GA Office.","C++","FTP, TCP/IP, SSH, TLS/SSL, PKI, COM, ATL, Windows","Visual Source Safe","",""
"1997-01-01","1999-02-28","M","M","","Asymetrix","Asymetrix","Contract Programmer","http://www.asymetrix.com","","","Graham Wright Interactive (GWI) until acquisition by Asymetrix in Jan 1998. ","Online eLearning division, Southeast USA Region.","OpenScript, C++, C, Java, JavaScript","ToolBook, Active-X/OLE, Internet Explorer, NSAPI, Netscape, ATL/COM, Windows","CVS","",""
"1996-01-01","1996-11-30","M","M","","Delta","Delta Airlines (as Transquest, Inc)","Senior Contract Programmer/Team Lead","http://delta.com","1030 Delta Blvd, Dept 982, Atlanta, GA, 30354","","","Software Development Team for Magellan™ Reservations System","C++, SQL","Borland’s Object Windows Library (OWL). ","Visual Source Safe","",""
"1994-05-01","1995-12-31","M","M","","The Fed","The Federal Reserve Bank - Atlanta (FRB)","Contract Programmer","https://frbatlanta.org","1000 Peachtree St NE, Atlanta, GA  30309 (since 2001)","+1-404-498-8500","","IPAPS (Integrated Purchasing and Accounts Payable System)","C++, SQL, C","MFC, Sybase, SQL Server, Windows","Visual Source Safe","",""
"1993-09-01","1994-05-01","M","M","","Nova","Nova Information Systems (now Elavon)","Contract Programmer","http://elavon.com","Two Concourse Parkway, Suite 800, Atlanta, GA 30328","+1-678-731-5000","","Software R&D","C++, VB, C","Windows, Paradox Engine","","",""
"1992-07-01","1993-08-01","M","M","","HVL","Hypermedia and Visualization Laboratory (HVL)","Multimedia Technologist","http://hvl.cs.gsu.edu/hvl/ ","Georgia State University, Atlanta, GA  30303","+1-404-651-2245","","Georgia State University, Department of Mathematics and Computer Science.","C, shell scripts, application scripting languages","AIX, Irix, Windows, Macintosh, Renderman, Autodesk; Multiple pre-web hypermedia authoring applications with hypertext/hyperlink and HyperCard like capabilities.","","",""
"1989-07-01","1992-08-30","M","M","","The GAP","The Georgia Assessment Project (The GAP) ","Solution Generalist/Student Assistant","","Georgia State University, Atlanta, GA  30303","+1-404-651-2245","","Georgia State University Department of Education; Georgia Department of Education.","Pascal, C, C++, Xerox OpenScript, DOS Batch files, A little Ada, application macros such as WordPerfect, Lotus 123 and Borland Quattro.","Xerox 8010 (Xerox Star), XNS, Novell, Windows, Paradox.","","",""
