skillid,Skill,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
jobs,,gap,gap,gap/hvl,hvl/nov,nov/frb,frb,tq,gwi,gwi,gwi/ips,ips,ips,ips,ips/rfs,rfs,ng,ng/agi,att,att,alu,alu,alu,alu/gt,gt/bb,bb,bb,bb,amzn,amzn,amzn,amzn,amzn,amzn
cpp,C++,0,3,4,5,6,7,8,9,9,10,11,11,11,11,,,10,3,3,3,3,3,7,10,7,7,7,,,,,,
ccpp,Classic C++,0,3,4,5,6,7,8,9,9,10,11,11,11,11,0,0,10,3,3,3,3,3,7,10,,,,,,,,,
mcpp,Modern C++,0,,,,,,,,,,,,,,,,,,,,,,,3,7,7,7,,,,,,
cs,C#,0,,,,,,,,,,,,,5,6,7,8,9,9,10,10,11,11,11,,,,,,,,,
csdn,C#/DotNet,0,,,,,,,,,,,,,5,6,7,8,9,9,10,10,11,11,11,,,,,,,,,
py,Python,0,,,,,,,,,,,,,,,,,,,,,,4,5,6,7,7,1,1,1,1,1,1
js,JavaScript,0,,,,,,,,,,,,,,,,5,6,6,,,,,,6,6,6,6,6,6,6,6,6
java,Java,0,,,,,,,,5,,,,,,,,,5,5,,,5,5,,,,,5,6,7,7,7,7
kotlin,Kotlin,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,6,7
javkot,Java/Kotlin,0,,,,,,,,5,,,,,,,,,5,5,,,5,5,,,,,5,6,7,7,7,7
fortran,Fortran,0,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,,,,,,
script,Scripting,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appl,Application Languages,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other,Other Languages,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
win,Windows,7,8,9,10,11,11,11,11,11,11,11,11,11,10,10,10,11,10,10,10,10,10,11,11,,,,,,,,,
web,Web,0,,,,,,,6,7,,,,,6,7,,5,6,7,8,9,10,9,,,,,4,4,4,4,4,4
unix,Unix,1,2,3,,,,,,,1,1,1,1,,,,,,,3,3,3,3,4,5,6,7,1,1,1,1,1,1
cloud,Cloud,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6
appt,Application Platforms,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db,Databases,5,6,7,7,7,10,2,,,,,,,7,8,9,8,9,9,10,10,10,10,,7,7,7,7,7,7,7,7,7
tcpip,TCP/IP,0,,,,3,3,3,,,5,7,10,10,10,,,,,,10,10,10,,,,,,,,,,,
iptv,IPTV,0,,,,,,,,,,,,,,,,,,6,7,8,9,10,,,,,,,,,,
dotnet,DotNet,0,,,,,,,,,,,,,5,6,7,8,9,10,11,11,11,11,11,,,,,,,,,
