jobid,Transition
"alu","merged with Nokia in Jan 2016, http://nokia.com"
"agile","acquired by Majesco in Dec 2014, http://majesco.com"
"ng","NextGen is a subsidiary and brand of Quality Systems Inc., http://qsii.com"
"rfs","Rhodes Financial Services Corp renamed their tax software related subsidiaries in 2008 to taxslayer.com"
"gwi","Asymetrix renamed itself to click2learn.com in Oct 1999. In 2003, that entity was effectively merged with Docent into SumTotal Systems (www.sumtotalsystems.com), a subsidiary of SkillSoft (www.skillsoft.com). SumTotal still supports ToolBook at tb.sumtotalsystems.com."
"tq","Transquest began as a joint venture between Delta Airlines and AT&T in 1995, then became a wholly owned subsidiary of Delta Airlines in July 1996, before being renamed to Delta Technology in 1997, and finally being repurchased by Delta Airlines in 2009."
"nova","NOVA Information Systems (NOVA), a wholly-owned subsidiary of U.S. Bancorp (NYSE: USB) became Elavon in April 2008."
"gap","The Georgia Assessment Project was a test development organization affiliated with Georgia State University, the Georgia Department of Education, and ETS. until 1998"
"chemtech","Chemtech was acquired by Crystal Equation in 2010"
"teltech","TelTech was acquired by Parity Systems in 1997, which was acquired by Kenda Systems in 2005, which was acquired by Segula Technologies in 2006."
